title,terr,dist,P&A Currency,Tht. Release Status,Box Office Release Date,Weeks in Release,Cume Box Office,Cume Admissions,Opening Wkend Box Office,OW Admissions,OW Screens,OW Rank,Current Wkend Box Office,CW Admissions,CW Screens,CW Rank,Wkend 2 Box Office,Wkend 2 Admissions,Wkend 2 Screens,Wkend 2 Rank,Wkend 3 Box Office,Wkend 3 Admissions,Wkend 3 Screens,Wkend 3 Rank,Wkend 4 Box Office,Wkend 4 Admissions,Wkend 4 Screens,Wkend 4 Rank,Wkend 5 Box Office,Wkend 5 Admissions,Wkend 5 Screens,Wkend 5 Rank,Wkend 6 Box Office,Wkend 6 Admissions,Wkend 6 Screens,Wkend 6 Rank,Wkend 7 Box Office,Wkend 7 Admissions,Wkend 7 Screens,Wkend 7 Rank,Wkend 8 Box Office,Wkend 8 Admissions,Wkend 8 Screens,Wkend 8 Rank,Wkend 9 Box Office,Wkend 9 Admissions,Wkend 9 Screens,Wkend 9 Rank,Wkend 10 Box Office,Wkend 10 Admissions,Wkend 10 Screens,Wkend 10 Rank
A Private War,Paraguay,CDC,PYG,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Peru,CDC,PEN,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Philippines,Reality,PHP,Complete,28-Nov-18,1,"434,842.65","1,768.00",434842.65,1768,39,4,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Poland,Monolith,PLN,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Portugal,Lusomundo,EUD,Complete,22-Nov-18,5,"49,741.00","9,119.00",23078,4217,24,7,0,,,,11186,2030,22,9,2409,418,7,21,1175,220,5,,662,117,2,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Qatar,Selim,QAR,Complete,8-Nov-18,3,"88,145.00","1,988.00",51782,1197,7,,0,,,,9849.99,206,1,,6253,128,1,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Romania,AQS,RON,N/A,STTV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Russia,Russia World Vision,RUB,Complete,7-Mar-19,5,"1,369,241.00","4,623.00",916986,2658,90,,0,,,,89902,394,25,,8777,55,6,,3270,22,2,,880,6,2,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Serbia,Blitz,RSD,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Singapore,Golden Village,SGD,Complete,31-Jan-19,5,"62,738.84","5,005.00",32111,2906,14,5,0,,,,8588,776,4,12,5425,439,4,19,649,59,3,,383,42,2,,0,,,,0,,,,0,,,,0,,,,0,,,
