title,terr,dist,currency,ended,cume_bo,cume_adm,w_cume,w_adm,w_screen,w_rank,date,end_date,start_2,end_2,start_3,end_3,start_4,end_4,start_5,end_5,start_6,end_6,start_7,end_7,start_8,end_8,start_9,end_9,start_10,end_10
Dark Places,French-Speaking Switzerland,Ascot Elite,CHF,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dark Places,German-Speaking Switzerland,Ascot Elite,CHF,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dark Places,Italian-Speaking Switzerland,Ascot Elite,CHF,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dark Places,Taiwan,CMC,TWD,Complete,0,,,,12,,2015-06-18,2015-06-21,2015-06-25,2015-06-28,2015-07-02,2015-07-05,2015-07-09,2015-07-12,2015-07-16,2015-07-19,2015-07-23,2015-07-26,2015-07-30,2015-08-02,2015-08-06,2015-08-09,2015-08-13,2015-08-16,2015-08-20,2015-08-23
Dark Places,Thailand,M Pictures,THB,Complete,0,,,,16,,2015-08-06,2015-08-09,2015-08-13,2015-08-16,2015-08-20,2015-08-23,2015-08-27,2015-08-30,2015-09-03,2015-09-06,2015-09-10,2015-09-13,2015-09-17,2015-09-20,2015-09-24,2015-09-27,2015-10-01,2015-10-04,2015-10-08,2015-10-11
Dark Places,Turkey,Tanweer,TRY,Complete,0,,,,107,,2015-06-26,2015-06-28,2015-07-03,2015-07-05,2015-07-10,2015-07-12,2015-07-17,2015-07-19,2015-07-24,2015-07-26,2015-07-31,2015-08-02,2015-08-07,2015-08-09,2015-08-14,2015-08-16,2015-08-21,2015-08-23,2015-08-28,2015-08-30
Dark Places,Ukraine,West,UAH,Undated,0,,,,,,TBD,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dark Places,United Arab Emirates,Front Row,AED,Complete,0,,,,,,2015-07-30,2015-08-02,2015-08-06,2015-08-09,2015-08-13,2015-08-16,2015-08-20,2015-08-23,2015-08-27,2015-08-30,2015-09-03,2015-09-06,2015-09-10,2015-09-13,2015-09-17,2015-09-20,2015-09-24,2015-09-27,2015-10-01,2015-10-04
Dark Places,United Kingdom,eOne - UK,GPB,Complete,0,,,,1,,2016-01-22,2016-01-24,2016-01-29,2016-01-31,2016-02-05,2016-02-07,2016-02-12,2016-02-14,2016-02-19,2016-02-21,2016-02-26,2016-02-28,2016-03-04,2016-03-06,2016-03-11,2016-03-13,2016-03-18,2016-03-20,2016-03-25,2016-03-27
Dark Places,United States,A24,USD,Complete,0,,,,32,,2015-08-07,2015-08-09,2015-08-14,2015-08-16,2015-08-21,2015-08-23,2015-08-28,2015-08-30,2015-09-04,2015-09-06,2015-09-11,2015-09-13,2015-09-18,2015-09-20,2015-09-25,2015-09-27,2015-10-02,2015-10-04,2015-10-09,2015-10-11
Dark Places,Uruguay,IDC,UYU,Complete,0,,,,4,,2015-06-11,2015-06-14,2015-06-18,2015-06-21,2015-06-25,2015-06-28,2015-07-02,2015-07-05,2015-07-09,2015-07-12,2015-07-16,2015-07-19,2015-07-23,2015-07-26,2015-07-30,2015-08-02,2015-08-06,2015-08-09,2015-08-13,2015-08-16
Dark Places,Venezuela,IDC,VEF,Complete,0,,,,2,,2015-06-11,2015-06-14,2015-06-18,2015-06-21,2015-06-25,2015-06-28,2015-07-02,2015-07-05,2015-07-09,2015-07-12,2015-07-16,2015-07-19,2015-07-23,2015-07-26,2015-07-30,2015-08-02,2015-08-06,2015-08-09,2015-08-13,2015-08-16
Dark Places,Vietnam,Noori,VND,Complete,0,,,,,,2015-09-11,2015-09-13,2015-09-18,2015-09-20,2015-09-25,2015-09-27,2015-10-02,2015-10-04,2015-10-09,2015-10-11,2015-10-16,2015-10-18,2015-10-23,2015-10-25,2015-10-30,2015-11-01,2015-11-06,2015-11-08,2015-11-13,2015-11-15
Dark Places,West Africa,Times Media,ZAR,,0,,,,,,,,1900-01-07,#VALUE!,1900-01-14,#VALUE!,1900-01-21,#VALUE!,1900-01-28,#VALUE!,1900-02-04,#VALUE!,1900-02-11,#VALUE!,1900-02-18,#VALUE!,1900-02-25,#VALUE!,1900-03-03,#VALUE!
Destination Wedding,Albania,ABLO,ALL,Complete,0,,,,1,,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18,2018-11-22,2018-11-25
Destination Wedding,Argentina,Sun,ARS,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Australia,Aviron,AUS,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Austria,Ascot Elite,EUD,Complete,0,,,,26,14,2018-08-03,2018-08-05,2018-08-10,2018-08-12,2018-08-17,2018-08-19,2018-08-24,2018-08-26,2018-08-31,2018-09-02,2018-09-07,2018-09-09,2018-09-14,2018-09-16,2018-09-21,2018-09-23,2018-09-28,2018-09-30,2018-10-05,2018-10-07
Destination Wedding,Bahrain,Selim,BHD,Complete,0,,,,,,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18
Destination Wedding,Belgium,DFW,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Bolivia,Sun,BOB,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Brazil,Sun,BRL,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Bulgaria,ABLO,BGN,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Canada,Aviron,CAD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Chile,Sun,CLP,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,China,Huace,CNH,Undated,0,,,,,,TBD,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Colombia,Sun,COP,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Croatia,ABLO,HRK,Complete,0,,,,35,,2019-01-10,2019-01-13,2019-01-17,2019-01-20,2019-01-24,2019-01-27,2019-01-31,2019-02-03,2019-02-07,2019-02-10,2019-02-14,2019-02-17,2019-02-21,2019-02-24,2019-02-28,2019-03-03,2019-03-07,2019-03-10,2019-03-14,2019-03-17
Destination Wedding,Czech Republic,ABLO,CZK,Complete,0,,,,53,10,2018-08-30,2018-09-02,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04
Destination Wedding,Denmark,Star Media,DKK,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Ecuador,Sun,USD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Egypt,Selim,EGP,Complete,0,,,,2,,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18
Destination Wedding,El Salvador,Sun,USD,N/A,0,,,,,,NR,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Estonia,Acme Film,EUD,Complete,0,,,,13,,2018-09-07,2018-09-09,2018-09-14,2018-09-16,2018-09-21,2018-09-23,2018-09-28,2018-09-30,2018-10-05,2018-10-07,2018-10-12,2018-10-14,2018-10-19,2018-10-21,2018-10-26,2018-10-28,2018-11-02,2018-11-04,2018-11-09,2018-11-11
Destination Wedding,Finland,Star Media,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,France,Amazon,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Germany,Ascot Elite,EUD,Complete,0,,,,89,28,2018-08-02,2018-08-05,2018-08-09,2018-08-12,2018-08-16,2018-08-19,2018-08-23,2018-08-26,2018-08-30,2018-09-02,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07
Destination Wedding,Greece,Odeon,EUD,Complete,0,,,,9,,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11
Destination Wedding,Guatemala,Sun,GTQ,N/A,0,,,,,,NR,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Honduras,Sun,HNL,N/A,0,,,,,,NR,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Hong Kong,UA,HKD,Complete,0,,,,7,,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18,2018-11-22,2018-11-25,2018-11-29,2018-12-02,2018-12-06,2018-12-09,2018-12-13,2018-12-16
Destination Wedding,Hungary,ABLO,HUF,Complete,0,,,,40,6,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11
Destination Wedding,Iceland,Sena,ISK,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,India,PVR,INR,Complete,0,,,,,,2018-09-14,2018-09-16,2018-09-21,2018-09-23,2018-09-28,2018-09-30,2018-10-05,2018-10-07,2018-10-12,2018-10-14,2018-10-19,2018-10-21,2018-10-26,2018-10-28,2018-11-02,2018-11-04,2018-11-09,2018-11-11,2018-11-16,2018-11-18
Destination Wedding,Indonesia,PT Prima,IDR,In Release,0,,,,,,2021-01-15,2021-01-17,2021-01-22,2021-01-24,2021-01-29,2021-01-31,2021-02-05,2021-02-07,2021-02-12,2021-02-14,2021-02-19,2021-02-21,2021-02-26,2021-02-28,2021-03-05,2021-03-07,2021-03-12,2021-03-14,2021-03-19,2021-03-21
Destination Wedding,Iraq,Selim,IQD,Complete,0,,,,2,,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11
Destination Wedding,Israel,United King,ILS,Complete,0,,,,26,,2018-08-30,2018-09-02,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04
Destination Wedding,Italy,Lapis,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Japan,Hakuhodo,YEN,Complete,0,,,,68,,2018-12-07,2018-12-09,2018-12-14,2018-12-16,2018-12-21,2018-12-23,2018-12-28,2018-12-30,2019-01-04,2019-01-06,2019-01-11,2019-01-13,2019-01-18,2019-01-20,2019-01-25,2019-01-27,2019-02-01,2019-02-03,2019-02-08,2019-02-10
Destination Wedding,Jordan,Selim,JOD,Complete,0,,,,2,,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18
Destination Wedding,Kuwait,Selim,KWD,Complete,0,,,,2,,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18
Destination Wedding,Latvia,Acme Film,EUD,Complete,0,,,,8,,2018-09-07,2018-09-09,2018-09-14,2018-09-16,2018-09-21,2018-09-23,2018-09-28,2018-09-30,2018-10-05,2018-10-07,2018-10-12,2018-10-14,2018-10-19,2018-10-21,2018-10-26,2018-10-28,2018-11-02,2018-11-04,2018-11-09,2018-11-11
Destination Wedding,Lebanon,Selim,LBP,Complete,0,,,,5,,2018-08-30,2018-09-02,2018-09-06,2018-09-09,2018-09-13,2018-09-16,2018-09-20,2018-09-23,2018-09-27,2018-09-30,2018-10-04,2018-10-07,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04
Destination Wedding,Lithuania,Acme Film,EUD,Complete,0,,,,8,,2018-09-14,2018-09-16,2018-09-21,2018-09-23,2018-09-28,2018-09-30,2018-10-05,2018-10-07,2018-10-12,2018-10-14,2018-10-19,2018-10-21,2018-10-26,2018-10-28,2018-11-02,2018-11-04,2018-11-09,2018-11-11,2018-11-16,2018-11-18
Destination Wedding,Malaysia,Noori,MYR,Complete,0,,,,15,,2018-10-11,2018-10-14,2018-10-18,2018-10-21,2018-10-25,2018-10-28,2018-11-01,2018-11-04,2018-11-08,2018-11-11,2018-11-15,2018-11-18,2018-11-22,2018-11-25,2018-11-29,2018-12-02,2018-12-06,2018-12-09,2018-12-13,2018-12-16
Destination Wedding,Mexico,Sun,MXN,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Destination Wedding,Netherlands,DFW,EUD,Complete,0,,,,11,,2018-11-15,2018-11-18,2018-11-22,2018-11-25,2018-11-29,2018-12-02,2018-12-06,2018-12-09,2018-12-13,2018-12-16,2018-12-20,2018-12-23,2018-12-27,2018-12-30,2019-01-03,2019-01-06,2019-01-10,2019-01-13,2019-01-17,2019-01-20
Destination Wedding,New Zealand,Aviron,NZD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
