"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"A Walk Among The Tombstones,United Arab Emirates,Front Row,AED,Complete,41900,6,2953175,0"
"A Walk Among The Tombstones,United Kingdom,eOne - UK,GPB,Complete,41901,24,3725673,0"
"A Walk Among The Tombstones,United States,Universal,USD,Complete,41901,5,26017685,0"
"A Walk Among The Tombstones,Uruguay,CDC,UYU,Complete,41963,6,1242209,8956"
"A Walk Among The Tombstones,Venezuela,CDC,VEB,Complete,41971,43,11825925,111349"
"A Walk Among The Tombstones,Vietnam,IPA,VND,Complete,41922,3,4136360000,0"
"A Walk Among The Tombstones,West Indies,VAA,TTD,Undated,TBD,,0,0"
"Acts of Violence,Russia,Top Film,RUB,,,,0,0"
"Alien Abduction,Argentina,California Filmes,ARS,Undated,To Be Det'd,,0,0"
"Alien Abduction,Australia,Pinnacle Films,AUS,Undated,To Be Det'd,,0,0"
"Alien Abduction,Austria,Falcom,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Bahrain,Front Row,BHD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Belgium,Independent Films,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Bolivia,California Filmes,BOB,Undated,To Be Det'd,,0,0"
"Alien Abduction,Brazil,California Filmes,BRL,Undated,To Be Det'd,,0,0"
"Alien Abduction,Bulgaria,A-Company,BGN,Undated,To Be Det'd,,0,0"
"Alien Abduction,Canada,VVS Films Inc.,CAD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Chile,California Filmes,CLP,Undated,To Be Det'd,,0,0"
"Alien Abduction,Colombia,California Filmes,COP,Undated,To Be Det'd,,0,0"
"Alien Abduction,Costa Rica,California Filmes,CRC,Undated,To Be Det'd,,0,0"
"Alien Abduction,Croatia,A-Company,HRK,Undated,To Be Det'd,,0,0"
"Alien Abduction,Czech Republic,A-Company,CZK,Undated,To Be Det'd,,0,0"
"Alien Abduction,Dominican Republic,California Filmes,DOP,Undated,To Be Det'd,,0,0"
"Alien Abduction,Ecuador,California Filmes,USD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Egypt,Front Row,EGP,Undated,To Be Det'd,,0,0"
"Alien Abduction,El Salvador,California Filmes,USD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Estonia,A-Company,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Germany,Falcom,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Guatemala,California Filmes,GTQ,Undated,To Be Det'd,,0,0"
"Alien Abduction,Honduras,California Filmes,HNL,Undated,To Be Det'd,,0,0"
"Alien Abduction,Hong Kong,Intercontinental,HKD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Hungary,A-Company,HUF,Undated,To Be Det'd,,0,0"
"Alien Abduction,Iceland,Sam Film,ISK,Undated,To Be Det'd,,0,0"
"Alien Abduction,Indonesia,PT Amero,IDR,Undated,To Be Det'd,,0,0"
"Alien Abduction,Iraq,Front Row,IQD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Israel,United King,ILS,Undated,To Be Det'd,,0,0"
"Alien Abduction,Italy,Koch Media GmbH,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Japan,Culture Convenience Club,YEN,Undated,To Be Det'd,,0,0"
"Alien Abduction,Jordan,Front Row,JOD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Kuwait,Front Row,KWD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Latvia,A-Company,EUD,Undated,To Be Det'd,,0,0"
